Source:,I:\EMBEDDED\KiCAD\RECEIVER_laser_communication_system\G18_RECEIVER_laser_communication_system\G18_RECEIVER_laser_communication_system.sch,,,,,
Date:,2021-7-10 0:13,,,,,
Tool:,Eeschema (5.1.9)-1,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
Component Count:,22,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, ",1,100uF,CP1,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,"Polarized capacitor, US symbol",
"C2, C5, ",2,0.1uF,C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"C3, C4, ",2,22pF,C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,Unpolarized capacitor,
"D1, ",1,1N4007,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,"1000V 1A General Purpose Rectifier Diode, DO-41",
"D2, D3, D4, D5, ",4,LED,LED,LED_THT:LED_D3.0mm,Light emitting diode,
"J1, ",1,Screw_Terminal_01x02,Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, ",1,Screw_Terminal_01x03,Screw_Terminal_01x03,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J3, ",1,Conn_01x05_Male,Conn_01x05_Male,Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",
"R1, ",1,10k,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,
"R2, R3, R4, R5, ",4,330,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,
"SW1, ",1,Reset,SW_Push,Button_Switch_THT:SW_PUSH_6mm_H4.3mm,"Push button switch, generic, two pins",
"U1, ",1,L7805,L7805,Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown,"Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",
"U2, ",1,PIC16F84A-XXP,PIC16F84A-XXP,Package_DIP:DIP-18_W7.62mm_LongPads,"PIC16F84A, 1K Flash, 68B SRAM, 64B EEPROM, DIP18",
"Y1, ",1,4MHz,Crystal,Crystal:Crystal_HC18-U_Vertical,Two pin crystal,
